sample,100000,length,12898                                                                        
Time(ns),Vol(V)
00000000.000000,5.575351
00010000.000000,5.575351
00020000.000000,5.575351
00030000.000000,5.575351
00040000.000000,5.528505
00050000.000000,5.575351
00060000.000000,5.528505
00070000.000000,5.575351
00080000.000000,5.575351
00090000.000000,5.528505
00100000.000000,5.575351
00110000.000000,5.575351
00120000.000000,5.575351
00130000.000000,5.575351
00140000.000000,5.575351
00150000.000000,5.575351
00160000.000000,5.575351
00170000.000000,5.575351
00180000.000000,5.528505
00190000.000000,5.528505
00200000.000000,5.575351
00210000.000000,5.575351
00220000.000000,5.528505
00230000.000000,5.528505
00240000.000000,5.528505
00250000.000000,5.575351
00260000.000000,5.575351
00270000.000000,5.575351
00280000.000000,5.575351
00290000.000000,5.528505
00300000.000000,-0.046270
00310000.000000,-0.046270
00320000.000000,0.000577
00330000.000000,0.000577
00340000.000000,0.000577
00350000.000000,0.000577
00360000.000000,0.000577
00370000.000000,0.000577
00380000.000000,0.000577
00390000.000000,0.000577
00400000.000000,0.000577
00410000.000000,0.000577
00420000.000000,0.000577
00430000.000000,0.000577
00440000.000000,0.000577
00450000.000000,0.000577
00460000.000000,0.000577
00470000.000000,0.000577
00480000.000000,0.000577
00490000.000000,0.000577
00500000.000000,0.000577
00510000.000000,0.000577
00520000.000000,0.000577
00530000.000000,0.000577
00540000.000000,0.000577
00550000.000000,0.000577
00560000.000000,0.000577
00570000.000000,0.000577
00580000.000000,0.000577
00590000.000000,0.000577
00600000.000000,0.000577
00610000.000000,0.000577
00620000.000000,0.000577
00630000.000000,0.000577
00640000.000000,0.000577
00650000.000000,0.000577
00660000.000000,0.000577
00670000.000000,0.000577
00680000.000000,0.000577
00690000.000000,0.000577
00700000.000000,0.000577
00710000.000000,0.000577
00720000.000000,0.000577
00730000.000000,0.000577
00740000.000000,0.000577
00750000.000000,0.000577
00760000.000000,0.000577
00770000.000000,0.000577
00780000.000000,0.047423
00790000.000000,0.000577
00800000.000000,0.000577
00810000.000000,0.000577
00820000.000000,0.000577
00830000.000000,0.000577
00840000.000000,0.000577
00850000.000000,0.000577
00860000.000000,0.000577
00870000.000000,0.000577
00880000.000000,0.000577
00890000.000000,0.000577
00900000.000000,0.000577
00910000.000000,0.000577
00920000.000000,0.000577
00930000.000000,0.000577
00940000.000000,0.000577
00950000.000000,0.000577
00960000.000000,0.000577
00970000.000000,0.000577
00980000.000000,0.000577
00990000.000000,0.000577
01000000.000000,0.000577
01010000.000000,0.000577
01020000.000000,0.000577
01030000.000000,0.000577
01040000.000000,0.000577
01050000.000000,0.000577
01060000.000000,0.000577
01070000.000000,0.000577
01080000.000000,0.000577
01090000.000000,0.000577
01100000.000000,0.000577
01110000.000000,0.000577
01120000.000000,0.000577
01130000.000000,0.000577
01140000.000000,0.000577
01150000.000000,0.000577
01160000.000000,0.000577
01170000.000000,0.000577
01180000.000000,0.000577
01190000.000000,0.000577
01200000.000000,0.000577
01210000.000000,0.000577
01220000.000000,0.000577
01230000.000000,0.000577
01240000.000000,0.000577
01250000.000000,0.000577
01260000.000000,0.000577
01270000.000000,0.000577
01280000.000000,0.000577
01290000.000000,0.000577
01300000.000000,0.000577
01310000.000000,0.000577
01320000.000000,0.000577
01330000.000000,0.000577
01340000.000000,0.000577
01350000.000000,0.000577
01360000.000000,0.047423
01370000.000000,0.047423
01380000.000000,0.000577
01390000.000000,0.000577
01400000.000000,0.000577
01410000.000000,0.000577
01420000.000000,0.000577
01430000.000000,0.000577
01440000.000000,0.000577
01450000.000000,0.000577
01460000.000000,0.000577
01470000.000000,0.000577
01480000.000000,0.000577
01490000.000000,0.000577
01500000.000000,0.000577
01510000.000000,0.000577
01520000.000000,0.000577
01530000.000000,0.000577
01540000.000000,0.000577
01550000.000000,0.000577
01560000.000000,0.000577
01570000.000000,0.000577
01580000.000000,0.000577
01590000.000000,0.000577
01600000.000000,0.000577
01610000.000000,0.000577
01620000.000000,0.000577
01630000.000000,0.000577
01640000.000000,0.000577
01650000.000000,0.000577
01660000.000000,0.000577
01670000.000000,0.000577
01680000.000000,0.000577
01690000.000000,0.000577
01700000.000000,0.000577
01710000.000000,0.000577
01720000.000000,0.000577
01730000.000000,0.000577
01740000.000000,0.000577
01750000.000000,0.000577
01760000.000000,0.000577
01770000.000000,0.000577
01780000.000000,0.000577
01790000.000000,0.000577
01800000.000000,0.000577
01810000.000000,0.000577
01820000.000000,0.000577
01830000.000000,0.000577
01840000.000000,0.000577
01850000.000000,0.000577
01860000.000000,0.000577
01870000.000000,0.000577
01880000.000000,0.000577
01890000.000000,0.047423
01900000.000000,0.000577
01910000.000000,0.000577
01920000.000000,0.000577
01930000.000000,0.000577
01940000.000000,0.094270
01950000.000000,0.000577
01960000.000000,0.000577
01970000.000000,0.000577
01980000.000000,0.000577
01990000.000000,0.000577
02000000.000000,0.000577
02010000.000000,0.000577
02020000.000000,0.000577
02030000.000000,0.000577
02040000.000000,0.000577
02050000.000000,0.000577
02060000.000000,0.000577
02070000.000000,0.000577
02080000.000000,0.000577
02090000.000000,0.000577
02100000.000000,0.000577
02110000.000000,0.000577
02120000.000000,0.000577
02130000.000000,0.000577
02140000.000000,0.000577
02150000.000000,0.000577
02160000.000000,0.000577
02170000.000000,0.000577
02180000.000000,0.000577
02190000.000000,0.000577
02200000.000000,0.000577
02210000.000000,0.000577
02220000.000000,0.000577
02230000.000000,0.000577
02240000.000000,0.000577
02250000.000000,0.000577
02260000.000000,0.000577
02270000.000000,0.000577
02280000.000000,0.000577
02290000.000000,0.000577
02300000.000000,0.000577
02310000.000000,0.000577
02320000.000000,0.000577
02330000.000000,0.000577
02340000.000000,0.000577
02350000.000000,0.000577
02360000.000000,0.000577
02370000.000000,0.000577
02380000.000000,0.000577
02390000.000000,0.000577
02400000.000000,0.000577
02410000.000000,0.000577
02420000.000000,0.000577
02430000.000000,0.000577
02440000.000000,0.000577
02450000.000000,0.000577
02460000.000000,0.000577
02470000.000000,0.000577
02480000.000000,0.000577
02490000.000000,0.000577
02500000.000000,0.000577
02510000.000000,0.000577
02520000.000000,0.000577
02530000.000000,0.000577
02540000.000000,0.000577
02550000.000000,0.000577
02560000.000000,0.000577
02570000.000000,0.000577
02580000.000000,0.000577
02590000.000000,0.000577
02600000.000000,0.000577
02610000.000000,0.000577
02620000.000000,0.000577
02630000.000000,0.000577
02640000.000000,0.000577
02650000.000000,0.000577
02660000.000000,0.000577
02670000.000000,0.000577
02680000.000000,0.000577
02690000.000000,0.000577
02700000.000000,0.000577
02710000.000000,0.000577
02720000.000000,0.000577
02730000.000000,0.000577
02740000.000000,0.000577
02750000.000000,0.000577
02760000.000000,0.000577
02770000.000000,0.000577
02780000.000000,0.000577
02790000.000000,0.000577
02800000.000000,0.000577
02810000.000000,0.000577
02820000.000000,0.000577
02830000.000000,0.047423
02840000.000000,0.000577
02850000.000000,0.000577
02860000.000000,0.000577
02870000.000000,0.000577
02880000.000000,0.000577
02890000.000000,0.000577
02900000.000000,0.000577
02910000.000000,0.000577
02920000.000000,0.000577
02930000.000000,0.000577
02940000.000000,0.000577
02950000.000000,0.000577
02960000.000000,0.000577
02970000.000000,0.000577
02980000.000000,0.000577
02990000.000000,0.000577
03000000.000000,0.000577
03010000.000000,0.000577
03020000.000000,0.000577
03030000.000000,0.000577
03040000.000000,0.000577
03050000.000000,0.000577
03060000.000000,0.000577
03070000.000000,0.000577
03080000.000000,0.000577
03090000.000000,0.047423
03100000.000000,0.000577
03110000.000000,0.000577
03120000.000000,0.000577
03130000.000000,0.000577
03140000.000000,0.000577
03150000.000000,0.000577
03160000.000000,0.000577
03170000.000000,0.000577
03180000.000000,0.000577
03190000.000000,0.000577
03200000.000000,0.000577
03210000.000000,0.000577
03220000.000000,0.000577
03230000.000000,0.000577
03240000.000000,0.000577
03250000.000000,0.000577
03260000.000000,0.000577
03270000.000000,0.000577
03280000.000000,0.000577
03290000.000000,0.000577
03300000.000000,0.000577
03310000.000000,0.000577
03320000.000000,0.000577
03330000.000000,0.000577
03340000.000000,0.000577
03350000.000000,0.000577
03360000.000000,0.000577
03370000.000000,0.000577
03380000.000000,0.000577
03390000.000000,0.000577
03400000.000000,0.000577
03410000.000000,0.000577
03420000.000000,0.000577
03430000.000000,0.000577
03440000.000000,0.000577
03450000.000000,0.000577
03460000.000000,0.000577
03470000.000000,0.000577
03480000.000000,0.000577
03490000.000000,0.000577
03500000.000000,0.000577
03510000.000000,0.000577
03520000.000000,0.000577
03530000.000000,0.000577
03540000.000000,0.000577
03550000.000000,0.000577
03560000.000000,0.000577
03570000.000000,0.000577
03580000.000000,0.000577
03590000.000000,0.000577
03600000.000000,0.000577
03610000.000000,0.000577
03620000.000000,0.000577
03630000.000000,0.000577
03640000.000000,0.000577
03650000.000000,0.000577
03660000.000000,0.000577
03670000.000000,0.000577
03680000.000000,0.000577
03690000.000000,0.000577
03700000.000000,0.000577
03710000.000000,0.000577
03720000.000000,0.047423
03730000.000000,0.000577
03740000.000000,0.000577
03750000.000000,0.000577
03760000.000000,0.000577
03770000.000000,0.000577
03780000.000000,0.000577
03790000.000000,0.000577
03800000.000000,0.000577
03810000.000000,0.000577
03820000.000000,0.000577
03830000.000000,0.000577
03840000.000000,0.000577
03850000.000000,0.000577
03860000.000000,0.000577
03870000.000000,0.000577
03880000.000000,0.000577
03890000.000000,0.000577
03900000.000000,0.000577
03910000.000000,0.000577
03920000.000000,0.000577
03930000.000000,0.000577
03940000.000000,0.000577
03950000.000000,0.000577
03960000.000000,0.000577
03970000.000000,0.000577
03980000.000000,0.000577
03990000.000000,0.000577
04000000.000000,0.000577
04010000.000000,0.000577
04020000.000000,0.000577
04030000.000000,0.000577
04040000.000000,0.000577
04050000.000000,0.000577
04060000.000000,0.000577
04070000.000000,0.000577
04080000.000000,0.000577
04090000.000000,0.000577
04100000.000000,0.000577
04110000.000000,0.000577
04120000.000000,0.000577
04130000.000000,0.000577
04140000.000000,0.000577
04150000.000000,0.000577
04160000.000000,0.000577
04170000.000000,0.000577
04180000.000000,0.000577
04190000.000000,0.000577
04200000.000000,0.000577
04210000.000000,0.000577
04220000.000000,0.000577
04230000.000000,0.000577
04240000.000000,0.047423
04250000.000000,0.000577
04260000.000000,-0.046270
04270000.000000,0.000577
04280000.000000,0.000577
04290000.000000,0.000577
04300000.000000,0.000577
04310000.000000,0.000577
04320000.000000,0.000577
04330000.000000,0.000577
04340000.000000,0.000577
04350000.000000,0.000577
04360000.000000,0.000577
04370000.000000,0.000577
04380000.000000,0.000577
04390000.000000,0.000577
04400000.000000,0.000577
04410000.000000,0.000577
04420000.000000,0.000577
04430000.000000,0.000577
04440000.000000,0.000577
04450000.000000,0.000577
04460000.000000,0.000577
04470000.000000,0.000577
04480000.000000,0.000577
04490000.000000,0.000577
04500000.000000,0.000577
04510000.000000,0.000577
04520000.000000,0.000577
04530000.000000,0.000577
04540000.000000,0.000577
04550000.000000,0.000577
04560000.000000,0.000577
04570000.000000,0.000577
04580000.000000,0.000577
04590000.000000,0.000577
04600000.000000,0.000577
04610000.000000,0.047423
04620000.000000,0.000577
04630000.000000,0.000577
04640000.000000,0.000577
04650000.000000,0.000577
04660000.000000,0.000577
04670000.000000,0.000577
04680000.000000,0.000577
04690000.000000,0.000577
04700000.000000,0.000577
04710000.000000,0.000577
04720000.000000,0.000577
04730000.000000,0.000577
04740000.000000,0.000577
04750000.000000,0.000577
04760000.000000,0.000577
04770000.000000,0.000577
04780000.000000,0.000577
04790000.000000,0.000577
04800000.000000,0.000577
04810000.000000,0.000577
04820000.000000,0.000577
04830000.000000,0.000577
04840000.000000,0.000577
04850000.000000,0.000577
04860000.000000,0.000577
04870000.000000,0.000577
04880000.000000,0.000577
04890000.000000,0.000577
04900000.000000,0.000577
04910000.000000,0.000577
04920000.000000,0.000577
04930000.000000,0.000577
04940000.000000,0.000577
04950000.000000,0.000577
04960000.000000,0.000577
04970000.000000,0.000577
04980000.000000,0.000577
04990000.000000,0.000577
05000000.000000,0.000577
05010000.000000,0.000577
05020000.000000,0.000577
05030000.000000,0.000577
05040000.000000,0.000577
05050000.000000,0.000577
05060000.000000,0.000577
05070000.000000,0.000577
05080000.000000,0.000577
05090000.000000,0.000577
05100000.000000,0.000577
05110000.000000,0.000577
